,Year,int_tourist_arrivals_millions,domestic_aviation_CO2_emissions_Mt,international_aviation_CO2_emissions_Mt,total_aviation_CO2_emissions_Mt,fossil_fuel_emissions_GtCarbon,land_use_emissions_GtCarbon,total_emissions_GtCarbon,deforestation_emissions_GtCarbon,deforestation_HA,deforestation_emissions_Mg_co2e,shipping_emissions_all_types_Mt_co2,shipping_volume_million_metric_tons,cars_sold_EV,cars_sold_non_EV,cars_sold_total,cement_production_thousand_metric_tons,percent_reporting_happiness,visits_to_US_national_parks,tonnes_fish_landed,passenger_vehicle_emissions_Gt_co2,exports_timber_products_USD,USA_WFH_share,total_municipal_waste_tonnes,outdoor_rec_participation_rate,millions_sales_garden_equipment,paid_fishing_license_holders,paid_hunting_license_holders,participation_in_outdoor_rec_percent,participation_in_outdoor_rec_million,number_of_outdoor_excursions,Finland_outdoor_visits
79,1983,,,,,51.185231271037026,126.36066763425254,58.14690940140158,91.61810370496406,,,,29.959294436906376,,,,,,74.38382722190961,,,,,,,,98.58727231929049,105.32687708963915,,,,
80,1984,,,,,52.95292767853126,148.9163038219642,61.839688691608394,97.6806754859841,,,,31.343283582089555,,,,,,75.96118626273434,,,,,,,,99.52166505506328,104.58562833257498,,,,
81,1985,,,,,54.74274881034537,139.72327044025155,62.61243427621348,93.43673344960068,,,,31.053821800090457,,,,,,80.43616498129519,,,,67.25903460439703,,,,98.23578496010852,102.15327276578886,,,,
82,1986,,,,,55.5595321660698,145.96129656507014,63.931255917989915,95.26068030683302,,,,31.38851198552691,,,,,,85.82613329920824,,,,,,,,97.04182594696958,101.46891745297751,,,,
83,1987,,,,,57.271225390595106,141.0130624092888,65.02620153137684,95.60700157386533,,,,32.817729534147446,,,,,,87.70394579580098,,,,,,,,100.4127006351788,101.72877845259222,,,,
84,1988,,,,,59.521789094642784,136.5549104983067,66.65549955291709,94.32929941724446,,,,34.97060153776572,,,,,,86.24033853988948,,,,,,,,102.3800201917481,102.40383808166938,,,,
85,1989,,,,,60.33438397770882,130.80745041122398,66.86059558490867,92.33999035830269,,,,36.81592039800995,,,,,,82.25531816448068,,,,,,,,102.33500725609332,102.67586388262761,,,,
86,1990,,,,,61.25705608584921,131.42162554426704,67.7546990973918,93.41475605087413,,,,37.32247851650837,,,,27.365928571428572,,78.03618264635298,,,,,,,,106.15367432419389,101.62395273186635,,,,
87,1991,,,,,62.48902493684415,131.2469762941461,68.85640701548041,92.32758376224692,,,,38.398914518317504,,,,28.203095238095237,,81.77936124823027,,,,,,,,101.81276884926798,101.11931611558272,,,,
88,1992,,,,,60.71583475867119,138.85292694726655,67.95177926628159,94.43954088505095,,,,39.30348258706468,,,,29.55278571428571,,83.87194208303671,,,,,,,,103.66733349749498,101.32765522521319,,,,
