Country Name En,Unit Name,2022,2022 Flag,2021,2021 Flag,2020,2020 Flag,2019,2019 Flag,2018,2018 Flag,2017,2017 Flag,2016,2016 Flag,2015,2015 Flag,2014,2014 Flag,2013,2013 Flag,2012,2012 Flag,2011,2011 Flag,2010,2010 Flag,2009,2009 Flag,2008,2008 Flag,2007,2007 Flag,2006,2006 Flag,2005,2005 Flag,2004,2004 Flag,2003,2003 Flag,2002,2002 Flag,2001,2001 Flag,2000,2000 Flag
Brunei Darussalam,Tonnes - live weight,16060,E,15295.003,A,13091.04,A,13690.42,A,13566,A,11864,A,13292,A,3370,A,3186,A,2826,A,4523,E,2154,E,2351,A,1958,A,2357,A,2550,A,2279,A,2709,A,1923,A,1789,A,2058,A,1597,A,2487,A
Bulgaria,Tonnes - live weight,5594.378,A,9009.27,A,6295.807,A,10329.65,A,8598.906,A,8559.038,A,8614.223,A,8828.733,A,8687.395,A,9669.933,A,9581.1,A,9623.257,A,10769,A,8978,A,8864,A,8903,A,7544,A,5434,A,8252,A,12035,A,15008,A,8674,A,8663,A
Burkina Faso,Tonnes - live weight,30044,A,29731,A,29104,A,27803,A,27299,A,25208,A,21770,A,20750,A,20700,A,20500,A,20300,A,16060,A,14520,E,11800,E,11093,A,10200,A,9500,A,9000,A,9000,E,9000,A,8500,A,8500,A,8500,A
Burundi,Tonnes - live weight,19935,E,19550,E,19589,E,20372,E,20310,E,18999,A,21805,A,20120,A,16054,A,13232,A,12309,A,10654,A,17305,A,12615,A,18265,A,11309,A,12978,A,13400,E,13855,A,14697,A,11000,E,8964,A,17315,A
Cabo Verde,Tonnes - live weight,7758.94,A,11623.868,A,19485.246,A,17190.317,A,26593.231,A,18617,A,27938.724,A,39393.278,A,35677.405,A,35983.796,A,20943.446,A,23077,A,21412,A,19213,A,21119,A,20127,A,19826,A,21931,A,11031,A,8136,A,8851,A,8676,A,10586,A
Cambodia,Number,,,,,,,300,E,3469,E,4652,E,5755,E,18050,E,7602,E,10000,E,5000,E,,,,,185000,E,156500,E,128945,E,137642,E,120000,E,74820,E,78008,E,50850,E,36000,E,26300,E
Cambodia,Tonnes - live weight,533450,E,508050,E,535900,E,601100,E,656105,E,648820,E,629950,E,608405.001,E,625255,E,638000,E,608000,E,536000,E,490000,E,465000,E,431000,E,458500,E,482500,E,381000,E,305800,E,363500,E,406150.001,E,427000.001,E,281619.51,E
Cameroon,Tonnes - live weight,299035,E,290330,E,281630,E,296953.828,A,281945,A,266737,A,233190,A,224000,A,215000,A,207000,A,199000,A,190000,E,181000,E,172000,E,155300,E,138612,A,137232,A,142345,A,129000,E,117801,A,130135,A,121031,E,112109,A
Canada,Number,31572,A,28127,A,394,A,399,A,59557,A,85310,A,66506,A,35844,A,59488,A,95224,A,67571,A,37921,A,67007,A,53531,A,215440,A,223641,A,296749,A,290242,A,326065,A,262926,A,287936,A,196801,A,88924,A
Canada,Tonnes - live weight,704176.878,A,754137.173,A,765345.976,A,853387.643,A,854090.729,A,854100.164,A,886759.007,A,871148.223,A,884382.504,A,893000.044,A,834404.224,A,939688.327,A,975764,A,993173,A,967874,A,1044982,A,1122606,A,1145594,A,1213644,A,1153788,A,1105841,A,1076924,A,1032686,A
Cayman Islands,Tonnes - live weight,125,E,125,E,125,E,125,E,125,E,125,A,125,A,125,A,125,A,125,A,125,A,125,A,125,A,125,A,125,A,125,A,125,A,125,A,125,A,125,A,125,A,125,A,125,A
Central African Republic,Tonnes - live weight,29000,E,28000,E,27500,E,29000,E,29000,E,29000,E,29000,E,28000,E,29000,E,30000,E,32000,A,35000,E,35000,E,33000,E,31000,E,29000,E,27000,E,25000,E,23000,E,21000,E,19000,E,17000,E,15000,E
Chad,Tonnes - live weight,107000,E,103000,E,105000,E,107000,E,107000,E,107045,A,110000,A,100000,A,120020,A,120000,A,100000,A,95000,A,91000,A,88000,A,85000,A,82000,A,79000,A,77000,A,74000,A,71000,A,70000,E,75000,E,83200,A
Channel Islands,Tonnes - live weight,2290,E,2187.512,A,2073.375,A,3050,A,3203,A,2731,A,2985,A,2574,A,2983,A,2848,A,2955,A,2976,A,3373,A,2649,A,3228,A,3566,A,3468,A,3505,A,3201,A,3526,A,3449,A,3927,A,3589,A
Chile,Number,,,,,,,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,2,A,0,A,1,A,0,A,2,A,14,A,4,A,1,A,0,A,0,A,0,A,0,A
